Age,AgeGroup,MaritalStatus
50,Senior (46-64),Single
39,Mid (31-45),Married
23,Young (18-30),Divorced
38,Mid (31-45),Married
43,Mid (31-45),Married
35,Mid (31-45),Married
18,Young (18-30),Single
41,Mid (31-45),Single
46,Senior (46-64),Single
37,Mid (31-45),Single
52,Senior (46-64),Married
56,Senior (46-64),Married
44,Mid (31-45),Married
18,Young (18-30),Divorced
35,Mid (31-45),Married
18,Young (18-30),Married
26,Young (18-30),Married
30,Young (18-30),Married
55,Senior (46-64),Married
37,Mid (31-45),Married
42,Mid (31-45),Married
20,Young (18-30),Single
32,Mid (31-45),Married
43,Mid (31-45),Single
37,Mid (31-45),Married
56,Senior (46-64),Single
54,Senior (46-64),Divorced
45,Mid (31-45),Single
47,Senior (46-64),Single
18,Young (18-30),Divorced
23,Young (18-30),Married
35,Mid (31-45),Married
26,Young (18-30),Divorced
39,Mid (31-45),Married
52,Senior (46-64),Single
33,Mid (31-45),Married
49,Senior (46-64),Single
46,Senior (46-64),Single
51,Senior (46-64),Married
54,Senior (46-64),Married
32,Mid (31-45),Single
46,Senior (46-64),Married
45,Mid (31-45),Married
48,Senior (46-64),Married
33,Mid (31-45),Married
34,Mid (31-45),Married
46,Senior (46-64),Married
21,Young (18-30),Divorced
65,Elder (65+),Married
43,Mid (31-45),Married
18,Young (18-30),Single
54,Senior (46-64),Married
32,Mid (31-45),Married
39,Mid (31-45),Married
54,Senior (46-64),Married
45,Mid (31-45),Married
36,Mid (31-45),Married
18,Young (18-30),Married
26,Young (18-30),Divorced
54,Senior (46-64),Divorced
52,Senior (46-64),Married
43,Mid (31-45),Married
24,Young (18-30),Divorced
45,Mid (31-45),Single
47,Senior (46-64),Single
41,Mid (31-45),Married
42,Mid (31-45),Widowed
46,Senior (46-64),Single
46,Senior (46-64),Married
50,Senior (46-64),Married
46,Senior (46-64),Married
28,Young (18-30),Married
46,Senior (46-64),Married
55,Senior (46-64),Married
47,Senior (46-64),Married
45,Mid (31-45),Widowed
26,Young (18-30),Married
33,Mid (31-45),Married
36,Mid (31-45),Married
29,Young (18-30),Married
37,Mid (31-45),Married
64,Senior (46-64),Married
44,Mid (31-45),Married
35,Mid (31-45),Married
33,Mid (31-45),Married
28,Young (18-30),Single
39,Mid (31-45),Married
39,Mid (31-45),Married
52,Senior (46-64),Divorced
59,Senior (46-64),Married
58,Senior (46-64),Married
47,Senior (46-64),Married
34,Mid (31-45),Widowed
47,Senior (46-64),Married
33,Mid (31-45),Married
47,Senior (46-64),Married
50,Senior (46-64),Single
27,Young (18-30),Married
40,Mid (31-45),Married
42,Mid (31-45),Married
22,Young (18-30),Single
29,Young (18-30),Divorced
52,Senior (46-64),Single
54,Senior (46-64),Married
45,Mid (31-45),Single
19,Young (18-30),Single
35,Mid (31-45),Married
41,Mid (31-45),Divorced
